params_key,mean_test_score,best_epochs,mean_test_score_rank
0.001_15_5_500,0.031817013285758824,300.0,1.0
0.001_5_5_500,0.03174638806547166,300.0,2.0
0.002_10_10_5000,0.03057413522296093,300.0,3.0
0.001_10_10_1000,0.030156498529364483,300.0,4.0
0.002_5_5_500,0.030148953800057044,300.0,5.0
0.002_15_5_500,0.030083784962923254,300.0,6.0
0.002_15_20_5000,0.029152177663035107,300.0,7.0
0.01_20_5_10000,0.028920560068013478,300.0,8.0
0.001_5_15_1000,0.028644253782319294,300.0,9.0
0.01_15_5_10000,0.028414762642596403,300.0,10.0
0.002_20_20_10000,0.02808546540718484,300.0,11.0
0.001_15_15_5000,0.028079172735268287,300.0,12.0
0.002_15_20_10000,0.027165484496299307,300.0,13.0
0.002_5_5_5000,0.027104964335029912,300.0,14.0
0.001_10_20_1000,0.025833025607462378,300.0,15.0
0.001_10_10_500,0.02564806804328822,300.0,16.0
0.001_15_15_1000,0.02497206990302474,300.0,17.0
0.001_5_20_5000,0.023603854105347443,300.0,18.0
0.01_5_10_10000,0.023541767132986835,300.0,19.0
0.01_5_20_10000,0.023492493413346183,300.0,20.0
0.002_10_15_10000,0.023411588814990357,300.0,21.0
0.01_10_10_10000,0.020441190800575104,300.0,22.0
0.01_15_5_1000,0.02002048078173173,300.0,23.0
0.002_20_5_10000,0.019142404627849142,300.0,24.0
0.001_5_15_5000,0.01889640192598855,300.0,25.0
0.001_15_15_500,0.018831504488029883,300.0,26.0
0.001_10_20_500,0.01836282315341502,300.0,27.0
0.002_5_15_10000,0.01710081701116293,300.0,28.0
0.01_15_10_5000,0.013465154311214667,300.0,29.0
0.002_15_10_500,0.012462636492233847,300.0,30.0
0.002_10_5_10000,0.012333652642364634,300.0,31.0
0.002_20_10_500,0.009992902477728428,300.0,32.0
0.001_20_10_10000,0.009134528510733774,300.0,33.0
0.002_5_15_500,0.007475384070312651,300.0,34.0
0.002_15_15_500,0.00035058772339494613,300.0,35.0
0.001_5_15_10000,-0.0038027950658363952,300.0,36.0
0.01_15_10_500,-0.018293260468005668,300.0,37.0
0.002_15_20_500,-0.022743137913009127,300.0,38.0
0.01_5_15_500,-0.03724475621620962,300.0,39.0
0.01_20_15_1000,-0.08530248749366114,300.0,40.0
